Top,Recall,Accuracy (%)
1,0.4678,46.78
2,0.5588,55.88
3,0.5962,59.62
4,0.6285,62.85
5,0.6412,64.12
6,0.6603,66.03
7,0.6715,67.15
8,0.6807,68.07
9,0.696,69.6
10,0.7035,70.35
11,0.7138,71.38
12,0.7183,71.83
13,0.7264,72.64
14,0.7311,73.11
15,0.7363,73.63
16,0.7408,74.08
17,0.7436,74.36
18,0.7481,74.81
19,0.755,75.5
20,0.7566,75.66
21,0.7591,75.91
22,0.7616,76.16
23,0.7643,76.43
24,0.7693,76.93
25,0.7751,77.51
26,0.7772,77.72
27,0.7784,77.84
28,0.7804,78.04
29,0.7833,78.33
30,0.7856,78.56
31,0.7871,78.71
32,0.7913,79.13
33,0.7938,79.38
34,0.7956,79.56
35,0.7966,79.66
36,0.7986,79.86
37,0.8001,80.01
38,0.8016,80.16
39,0.8026,80.26
40,0.8046,80.46
41,0.8072,80.72
42,0.8099,80.99
43,0.8124,81.24
44,0.8154,81.54
45,0.8161,81.61
46,0.8187,81.87
47,0.8199,81.99
48,0.8212,82.12
49,0.8223,82.23
50,0.8238,82.38
51,0.8241,82.41
52,0.826,82.6
53,0.827,82.7
54,0.8273,82.73
55,0.8276,82.76
56,0.8276,82.76
57,0.8276,82.76
58,0.8296,82.96
59,0.8306,83.06
60,0.8316,83.16
