Threshold of BERT,Precision,Recall,F2-score
0.4,0.23585987719651075,0.9306930693069307,0.58563933950111
0.45,0.3817048091363758,0.8811881188118812,0.698406800867955
0.5,0.5170653409878805,0.8267326732673267,0.738299986309224
0.55,0.6261669024045263,0.8118811881188119,0.7664188885623465
0.6,0.7202970297029703,0.7821782178217822,0.768965747926144
0.65,0.7656765676567656,0.7277227722772277,0.7350095044332469
0.7,0.7854785478547854,0.7128712871287128,0.7262986572629866
0.75,0.7871287128712872,0.7079207920792079,0.7224608853696667
0.8,0.7970297029702971,0.7079207920792079,0.7241121189628492
0.85,0.801980198019802,0.7079207920792079,0.7249252105994416
0.9,0.801980198019802,0.7079207920792079,0.7249252105994416
